city_name;UF;ibge_cod;GADM_GID_2;pop_2020;MHDI_tot;MHDI_long;MHDI_edu;MHDI_inc;SVI_tot;SVI_inf;SVI_hum;SVI_wrk;MHDI_quantiles;;MHDI quartiles;;SVI quartiles;
Lagoa do Barro do Piauí/PI;PI;2205565;BRA.18.113_1; 4.656 ;0,502;0,474;0,744;0,358;0,682;0,699;0,701;0,645; 0,006 ;;;;;
Tufilândia/MA;MA;2112274;BRA.10.206_1; 5.854 ;0,555;0,502;0,709;0,481;0,678;0,847;0,619;0,569; 0,075 ;;;;;
Inhapi/AL;AL;2703304;BRA.2.36_1; 18.392 ;0,484;0,501;0,718;0,316;0,678;0,523;0,795;0,715; 0,002 ;;;;;
Anajatuba/MA;MA;2100709;BRA.10.12_1; 26.988 ;0,581;0,523;0,762;0,492;0,677;0,746;0,63;0,654; 0,166 ;;;;;
Bagre/PA;PA;1501105;BRA.14.15_1; 31.325 ;0,471;0,481;0,777;0,28;0,676;0,617;0,74;0,672; 0,00100 ;;;;;
Igarapé do Meio/MA;MA;2105153;BRA.10.88_1; 14.324 ;0,569;0,53;0,687;0,506;0,675;0,75;0,677;0,598; 0,122 ;;;;;
Bonfim/RR;RR;1400159;BRA.23.4_1; 12.557 ;0,626;0,597;0,809;0,509;0,674;0,814;0,615;0,593; 0,355 ;;;;;
Juruá/AM;AM;1302207;BRA.4.32_1; 15.106 ;0,522;0,538;0,704;0,376;0,673;0,649;0,741;0,628; 0,020 ;;;;;
Penalva/MA;MA;2108306;BRA.10.140_1; 38.731 ;0,554;0,519;0,693;0,472;0,673;0,812;0,615;0,592; 0,073 ;;;;;
São João Batista/MA;MA;2111003;BRA.10.179_1; 20.701 ;0,598;0,493;0,752;0,577;0,673;0,788;0,565;0,666; 0,242 ;;;;;
Monção/MA;MA;2106904;BRA.10.121_1; 33.664 ;0,546;0,499;0,704;0,464;0,67;0,798;0,646;0,567; 0,053 ;;;;;
Bela Vista do Maranhão/MA;MA;2101772;BRA.10.28_1; 11.279 ;0,554;0,515;0,735;0,45;0,67;0,772;0,605;0,633; 0,073 ;;;;;
Curralinhos/PI;PI;2203255;BRA.18.70_1; 4.459 ;0,555;0,512;0,762;0,438;0,67;0,717;0,735;0,557; 0,075 ;;;;;
Pirapemas/MA;MA;2108801;BRA.10.146_1; 18.720 ;0,576;0,501;0,741;0,514;0,669;0,712;0,712;0,583; 0,148 ;;;;;
Conceição do Lago-Açu/MA;MA;2103554;BRA.10.62_1; 16.400 ;0,512;0,492;0,738;0,37;0,669;0,829;0,655;0,524; 0,012 ;;;;;
Cachoeira do Piriá/PA;PA;1501956;BRA.14.31_1; 34.609 ;0,473;0,449;0,779;0,303;0,668;0,697;0,759;0,549; 0,00100 ;;;;;
Aldeias Altas/MA;MA;2100303;BRA.10.5_1; 26.757 ;0,513;0,5;0,72;0,374;0,668;0,607;0,768;0,629; 0,012 ;;;;;
Envira/AM;AM;1301506;BRA.4.23_1; 20.393 ;0,509;0,521;0,727;0,349;0,667;0,57;0,801;0,629; 0,010 ;;;;;
Curralinho/PA;PA;1502806;BRA.14.43_1; 34.994 ;0,502;0,508;0,769;0,323;0,666;0,768;0,664;0,567; 0,006 ;;;;;
São João do Carú/MA;MA;2111029;BRA.10.180_1; 15.787 ;0,509;0,487;0,684;0,397;0,665;0,682;0,691;0,622; 0,010 ;;;;;
Bom Jardim/MA;MA;2102002;BRA.10.34_1; 41.822 ;0,538;0,519;0,75;0,4;0,665;0,759;0,644;0,591; 0,039 ;;;;;
Palmeirândia/MA;MA;2107605;BRA.10.131_1; 19.781 ;0,556;0,488;0,715;0,492;0,664;0,719;0,628;0,646; 0,078 ;;;;;
Bequimão/MA;MA;2101905;BRA.10.31_1; 21.299 ;0,601;0,51;0,757;0,561;0,664;0,715;0,637;0,641; 0,255 ;;;;;
Urbano Santos/MA;MA;2112605;BRA.10.212_1; 33.459 ;0,588;0,506;0,77;0,522;0,663;0,798;0,628;0,563; 0,197 ;;;;;
Amaturá/AM;AM;1300060;BRA.4.2_1; 11.736 ;0,56;0,499;0,773;0,455;0,662;0,761;0,591;0,633; 0,089 ;;;;;
Porto Walter/AC;AC;1200393;BRA.1.15_1; 12.241 ;0,532;0,521;0,726;0,397;0,661;0,71;0,707;0,566; 0,031 ;;;;;
Curuá/PA;PA;1502855;BRA.14.44_1; 14.587 ;0,578;0,501;0,78;0,495;0,661;0,947;0,49;0,545; 0,156 ;;;;;
Augusto Corrêa/PA;PA;1500909;BRA.14.12_1; 46.471 ;0,52;0,48;0,772;0,38;0,661;0,671;0,678;0,635; 0,018 ;;;;;
Primeira Cruz/MA;MA;2109403;BRA.10.155_1; 15.431 ;0,512;0,448;0,722;0,414;0,66;0,765;0,64;0,574; 0,012 ;;;;;
Carauari/AM;AM;1301001;BRA.4.17_1; 28.508 ;0,549;0,534;0,745;0,416;0,659;0,736;0,715;0,525; 0,061 ;;;;;
Anajás/PA;PA;1500701;BRA.14.9_1; 29.688 ;0,484;0,506;0,774;0,29;0,659;0,603;0,726;0,647; 0,002 ;;;;;
